 Force constants in Cartesian coordinates: 
      3 -0.267485D-03 -0.112249D-01  0.838209D+00
      4 -0.114124D+00  0.109974D-02  0.522688D-03  0.647113D+00
      5  0.109908D-02 -0.481962D-01  0.322344D-01 -0.931374D-02  0.835981D-01
      6  0.153238D-03  0.888022D-02 -0.542382D+00 -0.117512D-02 -0.605830D-01
      7 -0.272065D+00  0.527436D-03  0.127816D+00  0.441169D-02  0.424228D-03
      8  0.784496D-04 -0.370374D-01  0.100567D-02  0.377429D-03  0.612394D-02
      9  0.123335D+00 -0.100681D-03 -0.131136D+00  0.297531D-01  0.333214D-03
     10 -0.271714D+00  0.728061D-02 -0.127636D+00  0.438783D-02 -0.368779D-03
     11  0.772862D-02 -0.373561D-01  0.528176D-02 -0.318398D-03  0.613942D-02
     12 -0.123192D+00  0.402880D-02 -0.131123D+00 -0.297253D-01  0.132101D-02
     13  0.429978D-02 -0.124376D-03  0.197085D-02 -0.269386D+00  0.171940D-01
     14 -0.481552D-04  0.509166D-02 -0.398857D-02  0.173965D-01 -0.339319D-01
     15 -0.297907D-01  0.207924D-02 -0.129854D-01 -0.122454D+00  0.115872D-01
     16  0.430862D-02  0.147612D-03 -0.209413D-02 -0.270487D+00 -0.937276D-02
     17  0.756280D-04  0.508622D-02 -0.393575D-02 -0.958195D-02 -0.328763D-01
     18  0.298408D-01  0.108819D-02 -0.129897D-01  0.122957D+00  0.756524D-02
     19  0.359879D-03 -0.645655D-04 -0.312680D-03 -0.191485D-02  0.338001D-03
     20 -0.671669D-04 -0.364834D-02 -0.193726D-01  0.340439D-03  0.191430D-01
     21 -0.781226D-04 -0.475084D-02 -0.759306D-02  0.122048D-03  0.754186D-02
